Key,NoTranslate,English,Russian
AL_LK_ZInfectionIncrease2,,[ff8080]Medium[-],[ff8080]Средний[-]
AL_LK_ZInfectionIncrease3,,[ff4040]Strong[-],[ff4040]Сильный[-]
AL_LK_ZInfectionIncrease4,,[ff0000]Massive[-],[ff0000]Огромный[-]
AL_LK_ZInfectionIncrease5,,[aa0000]Extreme[-],[aa0000]Экстрим[-]
,,,
AL_LK_RainCatcher,,Rain Catcher,Сборщик дождевой воды
AL_LK_EffectsColon,,[ffc070]Effects:[-],[ffc070]Эффекты:[-]
,,,
AL_LK_TurnedPenalty,,[ff4040]You turned.[-],[ff4040]Вы обратились.[-]
AL_LK_RemoveTools,,It still has tools in it.,В нем все еще есть инструменты.
AL_LK_QueueNotEmpty,,It's still crafting.,Это пока ещё создаётся
AL_LK_FuelNotEmpty,,It still has fuel in it.,В нем еще есть топливо.
AL_LK_ContainerNotEmpty,,It's not empty.,Не пусто.
,,,
AL_LK_BasicApparel,,Basic Apparel,Базовая одежда
AL_LK_Shirts,,Shirts,Рубашки
AL_LK_Headwear,,Headwear,Головной убор
AL_LK_Booties,,Booties,Пинетки
AL_LK_Denim,,Denim Apparel,Джинсовая одежда
AL_LK_RunningShoes,,Running Shoes,Беговая обувь
AL_LK_Military,,Military Apparel,Военная одежда
AL_LK_PocketMods,,Pocket Mods,Карманные моды
AL_LK_Suitwear,,Suitwear,Костюмная одежда
AL_LK_Goth,,Goth Fashion,Готическая Мода
AL_LK_Coats,,Coats,Пальто
AL_LK_SportsShoes,,Sport Shoes,Спортивная обувь
AL_LK_Hazmat,,Hazmat,Хазмат
,,,
AL_LK_JournalEntries,,Journal Entries,Записи в журнале
AL_LK_Heat,,Heat,Нагревать
,,,
AL_LK_ReceivedWorkstationXP,,You received [ffc070]Workstations[-] experience.[-],Вы получили опыт [ffc070]Рабочие станции[-].[-]
,,,
AL_LK_MeleeWeapons,,Melee Weapons,Оружие ближнего боя
AL_LK_RangedWeapons,,Ranged Weapons,Оружие дальнего боя
AL_LK_Ammo,,Ammo,Боеприпасы
,,,
AL_LK_ClothHatScrapHelmet,,Cloth Hat & Scrap Helmet,Тканевая шляпа и металлоломный шлем
AL_LK_ClothScrapGloves,,Cloth & Scrap Gloves,Тканевые и ломаные перчатки
AL_LK_ClothScrapBoots,,Cloth & Scrap Boots,Сапоги из ткани и лома
AL_LK_ClothJacketScrapChest,,Cloth Jacket & Scrap Chest,Тканевая куртка и сундук с металлоломом
AL_LK_LeatherHoodIronHelmet,,Leather Hood & Iron Helmet,Кожаный капюшон и железный шлем
AL_LK_LeatherIronGloves,,Leather & Iron Gloves,Кожаные и железные перчатки
AL_LK_LeatherIronBoots,,Leather & Iron Boots,Кожаные и железные сапоги
AL_LK_LeatherIronPants,,Leather & Iron Pants,Кожаные и железные штаны
AL_LK_LeatherIronChest,,Leather & Iron Chest,Кожаный и железный сундук
AL_LK_MilitarySteelHelmet,,Military & Steel Helmet,Военный и стальной шлем
AL_LK_MilitarySteelGloves,,Military & Steel Gloves,Военные и стальные перчатки
AL_LK_MilitarySteelBoots,,Military & Steel Boots,Военные и стальные ботинки
AL_LK_MilitarySteelLegs,,Military & Steel Legs,Военные и стальные ноги
AL_LK_MilitaryVestSteelChest,,Military Vest & Steel Chest,Военный жилет и стальной сундук
,,,
AL_LK_Workstation,,Workstation,Рабочая станция
AL_LK_Tool,,Tool,Инструмент
AL_LK_None,,None,Никто
AL_LK_RequiredWorkstation,,Required Workstation,Требуемая рабочая станция
AL_LK_RequiredTool,,Required Tool,Требуемый инструмент
,,,
AL_LK_Using,,Using,С использованием
AL_LK_UsingInf,,Use,Использовать
AL_LK_Applying,,Applying,Применение
AL_LK_ApplyingInf,,Apply,Применять
AL_LK_Eating,,Eating,принимать пищу
AL_LK_EatingInf,,Eat,Есть
AL_LK_Drinking,,Drinking,Питьевой
AL_LK_DrinkingInf,,Drink,Напиток
AL_LK_Taking,,Taking,принимая
AL_LK_TakingInf,,Take,Брать
AL_LK_Reading,,Reading,Чтение
AL_LK_ReadingInf,,Read,Читать
AL_LK_Gathering,,Gathering,Встреча
AL_LK_General,,General,Общий
AL_LK_Vitality,,Vitality,Жизненная сила
AL_LK_Combat,,Combat,Бой
AL_LK_Crafting,,Crafting,Крафт
AL_LK_Survival,,Survival,Выживание
AL_LK_Mobility,,Mobility,Мобильность
AL_LK_ZombieKills,,Zombie Kills,Убийства зомби
,,,
AL_LK_ContainerFull,,The container is full.,Контейнер полон.
AL_LK_LiquidContainer,,[77f4ff]Liquid Container[-],[77f4ff]Контейнер для жидкости[-]
AL_LK_Weight,,Weight (kg),Вес (кг)
AL_LK_IndividualWeight,,Individual Weight (kg),Индивидуальный вес (кг)
AL_LK_StackWeight,,Stack Weight (kg),Вес штабеля (кг)
AL_LK_Sobering,,Sobering,Отрезвляющий
AL_LK_Supports,,Supports,Поддерживает
AL_LK_WetnessResistance,,Wetness Resistance,Устойчивость к влажности
,,,
AL_LK_ZInfectionTestInfected,,The kit's result indicates that [dd0000]you are infected[-].,"Результат набора показывает, что [dd0000]вы заражены[-]."
AL_LK_ZInfectionTestNotInfected,,The kit's result indicates that you are [00ff00]not infected[-].,"Результат набора показывает, что вы [00ff00]не заражены[-]."
AL_LK_ZInfectionTestOtherInfected,,The kit's result indicates that [dd0000]they are infected[-].,"Результат набора показывает, что [dd0000]они заражены[-]."
AL_LK_ZInfectionTestOtherNotInfected,,The kit's result indicates that they are [00ff00]not infected[-].,"Результат набора показывает, что они [00ff00]не заражены[-]."
,,,
AL_LK_ZInfectionObvious,,"Due to its extent, it is now obvious that [dd0000]you are infected[-].","Учитывая его масштабы, теперь очевидно, что [dd0000]вы заражены[-]."
,,,
AL_LK_SortByWeight,,Sort by Weight [bbbbbb](Descending)[-],Сортировать по весу [bbbbbb](по убыванию)[-]
,,,
AL_LK_HitSeveral,,[ffc070]Hit Several[-],[ffc070]Ударить несколько[-]
AL_LK_Backstab,,[ffc070]Backstab[-],[ffc070]Удар в спину[-]
AL_LK_PowerAttack,,[ffc070]Power Attack[-],[ffc070]Мощная атака[-]
AL_LK_LongReach,,[ffc070]Long Reach[-],[ffc070]Дальний охват[-]
,,,
AL_LK_Unconscious,,[404040]Unconscious[-],[404040]Бессознательное[-]
# }}},,,
,,,
# Craft Area to Block Name Translation,,,
distillery,,AL_Block_WorkstationDistillery,AL_Block_WorkstationDistillery
advanced_furnace,,AL_Block_WorkstationAdvancedFurnace,AL_Block_WorkstationAdvancedFurnace
mortar_and_pestle,,AL_Block_WorkstationMortarAndPestle,AL_Block_WorkstationMortarAndPestle
kiln,,AL_Block_WorkstationKiln,AL_Block_WorkstationKiln
research_desk,,AL_Block_WorkstationResearchDesk,AL_Block_WorkstationResearchDesk
dye_tub,,AL_Block_WorkstationDyeTub,AL_Block_WorkstationDyeTub
charcoal_kiln,,AL_Block_WorkstationCharcoalKiln,AL_Block_Workstationугольная печь
,,,
# Item Stats Display {{{,,,
AL_LK_StoneBoulderBasher,,Stone Boulder Basher,Каменный валун-крушитель
,,,
AL_LK_Knife,,Knife,Нож
AL_LK_Spear,,Spear,Копье
AL_LK_Club,,Club,Клуб
AL_LK_Clubs,,Clubs,Клубы
AL_LK_Sword,,Swords,Мечи
AL_LK_Sledgehammer,,Sledgehammer,Кувалда
AL_LK_Thrown,,Thrown,Брошенный
AL_LK_Fisticuffs,,Fisticuffs,Кулачные бои
,,,
AL_LK_Crossbows,,Crossbows,Арбалеты
AL_LK_Archery,,Archery,Стрельба из лука
,,,
AL_LK_Pickaxe,,Pickaxe,Кирка
AL_LK_Axe,,Axe,Топор
AL_LK_Shovel,,Shovel,Лопата
,,,
AL_LK_Pickaxes,,Pickaxes,Кирки
AL_LK_Axes,,Axes,Топоры
AL_LK_Shovels,,Shovels,Лопаты
,,,
AL_LK_Shotgun,,Shotgun,Дробовик
AL_LK_Pistol,,Pistol,Пистолет
AL_LK_Rifle,,Rifle,Винтовка
AL_LK_SMG,,Submachine Gun,Пистолет-пулемет
AL_LK_LMG,,Light Machine Gun,Легкий пулемет
AL_LK_AssaultRifles,,Light Machine Gun,Легкий пулемет
,,,
AL_LK_Yes,,Yes,Да
AL_LK_No,,No,Нет
# }}},,,
,,,
# Tags {{{,,,
AL_Tag_CollapsedWorkstation,,Collapsed Workstation,Свернутая рабочая станция
,,,
AL_ItemType_Melee,,Melee Weapon,Оружие ближнего боя
AL_ItemType_Ranged,,Ranged Weapon,Оружие дальнего боя
AL_ItemType_Thrown,,Thrown Weapon,Метательное оружие
AL_ItemType_Pickaxes,,Pickaxe,Кирка
AL_ItemType_Guns,,Gun,Пистолет
AL_ItemType_Axes,,Axe,Топор
AL_ItemType_Shovel,,Shovel,Лопата
AL_ItemType_Club,,Club,Клуб
AL_ItemType_Baton,,Baton,Дубинка
AL_ItemType_Sledgehammer,,Sledgehammer,Кувалда
AL_ItemType_Knife,,Knife,Нож
AL_ItemType_Sword,,Sword,Меч
AL_ItemType_Polearm,,Polearm,Древковое оружие
AL_ItemType_Spear,,Spear,Копье
AL_ItemType_Knuckles,,Knuckles,Наклз
AL_ItemType_Pickaxe,,Pickaxe,Кирка
,,,
AL_ItemType_Pistol,,Pistol,Пистолет
AL_ItemType_Magnum,,Magnum,Магнум
AL_ItemType_Shotgun,,Shotgun,Дробовик
AL_ItemType_Rifle,,Rifle,Винтовка
AL_ItemType_SMG,,Sub-machine Gun,Пистолет-пулемет
AL_ItemType_LMG,,Light Machine Gun,Легкий пулемет
AL_ItemType_AssaultRifle,,Assault Rifle,Штурмовая винтовка
,,,
AL_ItemType_Bow,,Bow,Поклон
AL_ItemType_Crossbow,,Crossbow,Арбалет
,,,
AL_ItemType_ConstructionTool,,Construction Tool,Строительный инструмент
AL_ItemType_MiningTool,,Mining Tool,Шахтёрский инструмент
AL_ItemType_DiggingTool,,Digging Tool,Инструмент для копания
AL_ItemType_LoggingTool,,Logging Tool,Инструмент для рубки
AL_ItemType_MotorTool,,Motor Tool,Моторный инструмент
AL_ItemType_SalvageTool,,Salvage Tool,Инструмент для разбора
,,,
AL_Tag_BlockType_LoggingTarget,,Logging Target,Цель рубки
AL_Tag_BlockType_MiningTarget,,Mining Target,Цель добычи
AL_Tag_BlockType_DiggingTarget,,Digging Target,Цель копки
AL_Tag_BlockType_ButcheringTarget,,Butchering Target,Цель свежевания
,,,
AL_AffectedByActionSkill_Butchering,,Blades vs. Corpses,Лезвия против трупов
AL_AffectedByActionSkill_ThrownWeapons,,Thrown Weapons,Метательное оружие
AL_AffectedByActionSkill_Pickaxes,,Pickaxes,Кирки
AL_AffectedByActionSkill_Guns,,Guns,Пушки
AL_AffectedByActionSkill_Axes,,Axes,Топоры
AL_AffectedByActionSkill_Shovels,,Shovels,Лопаты
AL_AffectedByActionSkill_Clubbing,,Clubs,Дубинки
AL_AffectedByActionSkill_Sledgehammers,,Sledgehammers,Кувалды
AL_AffectedByActionSkill_Knives,,Knives,Ножи
AL_AffectedByActionSkill_Swordsmanship,,Swordsmanship,Фехтование
AL_AffectedByActionSkill_Polearms,,Polearms,Древковое оружие
AL_AffectedByActionSkill_Spears,,Spears,Копья
AL_AffectedByActionSkill_Fisticuffs,,Fisticuffs,Кулачные бои
AL_AffectedByActionSkill_Archery,,Archery,Стрельба из лука
AL_AffectedByActionSkill_Bows,,Bows,Луки
AL_AffectedByActionSkill_Crossbows,,Crossbows,Арбалеты
,,,
AL_AffectedByActionSkill_Pistols,,Pistols,Пистолеты
AL_AffectedByActionSkill_Magnums,,Magnums,Магнумы
AL_AffectedByActionSkill_Shotguns,,Shotguns,Ружья
AL_AffectedByActionSkill_Rifles,,Rifles,Винтовки
AL_AffectedByActionSkill_SMGs,,SMGs,Пистолеты-пулемёты
AL_AffectedByActionSkill_LMGs,,LMGs,Ручные пулемёты
AL_AffectedByActionSkill_AssaultRifles,,Assault Rifles,Штурмовые винтовки
,,,
AL_AffectedByActionSkill_Logging,,Logging Tools,Инструменты для рубки
AL_AffectedByActionSkill_Mining,,Mining Tools,Шахтёрские инструменты
AL_AffectedByActionSkill_Digging,,Digging Tools,Инструменты для копки
AL_AffectedByActionSkill_Salvaging,,Salvage Tools,Инструменты для разбора
AL_AffectedByActionSkill_ConstructionTools,,Construction Tools,Строительные инструменты
# }}},,,
,,,
AL_LK_CategoryTools,,Tools,Инструменты
AL_LK_CategoryTraps,,Traps,Ловушки
AL_LK_CategoryAmmo,,Ammo,Боеприпасы
AL_LK_CategoryWorkstations,,Workstations,Рабочие станции
,,,
# Items {{{,,,
AL_Item_Kukri,,[ffc070]Kukri[-],[ffc070]Кукри[-]
AL_Item_KukriDesc,,I wonder if it would work as a boomerang?,"Интересно, сработает ли это как бумеранг?"
,,,
AL_Item_SolidStateDrive,,[ffc070]Solid State Drive[-],[ffc070]Твердотельный накопитель[-]
AL_Item_SolidStateDriveDesc,,A blazing-fast solid state drive. It's probably a porn stash.,"Невероятно быстрый твердотельный накопитель. Вероятно, это тайник с порно."
,,,
AL_Item_BronzeArrow,,[ffc070]Bronze Arrow[-],[ffc070]Бронзовая стрела[-]
AL_Item_BronzeArrowDesc,,"An arrow with a bronze head. Not as good as iron or steel, but surely better than stone.","Стрела с бронзовым наконечником. Не так хорошо, как железо или сталь, но определенно лучше, чем камень."
,,,
AL_Item_BronzeBolt,,[ffc070]Bronze Bolt[-],[ffc070]Бронзовый болт[-]
AL_Item_BronzeBoltDesc,,"A bolt with a bronze head. Not as good as iron or steel, but surely better than stone.","Болт с бронзовой головкой. Не так хорошо, как железо или сталь, но определенно лучше, чем камень."
,,,
AL_Item_BronzeKnuckles,,[ffc070]Bronze Knuckles[-],[ffc070]Бронзовые кастеты[-]
AL_Item_BronzeKnucklesDesc,,"It's not much, but it'll punch.","Это немного, но ударит."
,,,
AL_Item_BronzeSledgehammer,,[ffc070]Bronze Sledgehammer[-],[ffc070]Бронзовая кувалда[-]
AL_Item_BronzeSledgehammerDesc,,Hammertime like it's 3300 BC!,"Хаммертайм, как будто сейчас 3300 год до нашей эры!"
,,,
AL_Item_BronzeWarhammer,,[ffc070]Bronze Warhammer[-],[ffc070]Бронзовый боевой молот[-]
AL_Item_BronzeWarhammerDesc,,"In the grim darkness of the near future, there is only zombies.",В мрачной тьме недалекого будущего существуют только зомби.
,,,
AL_Item_BronzeKnife,,[ffc070]Bronze Knife[-],[ffc070]Бронзовый нож[-]
AL_Item_BronzeKnifeDesc,,Your everyday practical bronze-age stabby-boi.,Ваш повседневный практичный охотник бронзового века.
,,,
AL_Item_BronzeSpear,,[ffc070]Bronze Spear[-],[ffc070]Бронзовое копье[-]
AL_Item_BronzeSpearDesc,,"A rather long bronze spear, good for poking things that you don't really want poking back.","Довольно длинное бронзовое копье, подходящее для того, чтобы тыкать в вещи, в которые вам не очень хочется тыкать в ответ."
,,,
AL_Item_BronzeArrowhead,,[ffc070]Bronze Arrowhead[-],[ffc070]Бронзовый наконечник стрелы[-]
AL_Item_BronzeArrowheadDesc,,"A bronze arrowhead, ready to be made into an arrow or bolt.","Бронзовый наконечник стрелы, готовый для изготовления стрелы или болта."
,,,
AL_Item_BronzeAnvil,,[ffc070]Bronze Anvil[-],[ffc070]Бронзовая наковальня[-]
AL_Item_BronzeAnvilDesc,,Can be installed in a forge to enable bronze smithing.,Может быть установлен в кузнице для ковки бронзы.
,,,
AL_Item_AdvancedCrucible,,[ffc070]Advanced Crucible[-],[ffc070]Продвинутый тигель[-]
AL_Item_AdvancedCrucibleDesc,,"The advanced crucible is a critical part of advanced smelting, enabling casting from superalloys that require hellish temperatures to liquify them. Can be installed in a forge.","Усовершенствованный тигель является важной частью современной плавки, позволяя отливать суперсплавы, для разжижения которых требуются адские температуры. Можно установить в кузницу."
,,,
AL_Item_RaincoatJacket,,[ffc070]Raincoat Jacket[-],[ffc070]Куртка-дождевик[-]
AL_Item_RaincoatJacketDesc,,"This patchwork raincoat jacket won't keep you completely dry, but it'll help.","Этот лоскутный плащ не сохранит вас полностью сухим, но поможет."
,,,
AL_Item_RaincoatHood,,[ffc070]Raincoat Hood[-],[ffc070]Капюшон плаща[-]
AL_Item_RaincoatHoodDesc,,"This patchwork raincoat hood may mess up your immaculate hair a little, but it'll keep it dry.","Этот лоскутный капюшон-дождевик может немного испортить ваши безупречные волосы, но сохранит их сухими."
,,,
AL_Item_FryingPan,,[ffc070]Frying Pan[-],[ffc070]Сковорода[-]
AL_Item_FryingPanDesc,,Bong!,Бонг!
,,,
AL_Item_ScrapSpear,,[ffc070]Scrap Spear[-],[ffc070]Копьё из металлолома[-]
AL_Item_ScrapSpearDesc,,It's a means to distant pointy end.,"Это средство достижения отдаленной, острой цели."
,,,
AL_Item_ScrapKnuckles,,[ffc070]Scrap Knuckles[-],[ffc070]Кастеты из металлолома[-]
AL_Item_ScrapKnucklesDesc,,Now they're screwed!,Теперь они облажались!
,,,
AL_Item_WoodenBucketEmpty,,[ffc070]Wooden Bucket[-],[ffc070]Деревянное ведро[-]
AL_Item_WoodenBucketEmptyDesc,,A wooden bucket that can be used to collect water and deposit it elsewhere. [bbbbbb]Only supports Dirty Infected Water.[-],"Деревянное ведро, которое можно использовать для сбора воды и хранения ее в другом месте. [bbbbbb]Поддерживает только грязную зараженную воду.[-]"
,,,
AL_Item_WoodenBucketMid,,[ffc070]Wooden Bucket[-] [815500](Dirty Infected Water)[-],[ffc070]Деревянное ведро[-] [815500](Грязная зараженная вода)[-]
AL_Item_WoodenBucketMidDesc,,"An wooden bucket full of very bad water. Very very bad. The baddest water around, you might say.","Деревянное ведро с очень плохой водой. Очень очень плохо. Самая плохая вода на свете, можно сказать."
,,,
AL_Item_WoodenBucketFull,,[ffc070]Full Wooden Bucket [815500](Dirty Infected Water)[-],[ffc070]Полное деревянное ведро [815500](Грязная зараженная вода)[-]
AL_Item_WoodenBucketFullDesc,,"A wooden bucket full of very bad water. Very very bad. The baddest water around, you might say.","Деревянное ведро с очень плохой водой. Очень очень плохо. Самая плохая вода на свете, можно сказать."
,,,
AL_Item_BronzeBucketEmpty,,[ffc070]Bronze Bucket[-],[ffc070]Бронзовое ведро[-]
AL_Item_BronzeBucketEmptyDesc,,A bronze bucket that can be used to collect water and deposit it elsewhere. [bbbbbb]Only supports Dirty Infected Water.[-],"Бронзовое ведро, которое можно использовать для сбора воды и хранения ее в другом месте. [bbbbbb]Поддерживает только грязную зараженную воду.[-]"
,,,
AL_Item_BronzeBucketMid,,[ffc070]Bronze Bucket[-] [815500](Dirty Infected Water)[-],[ffc070]Бронзовое ведро[-] [815500](Грязная зараженная вода)[-]
AL_Item_BronzeBucketMidDesc,,"An bronze bucket full of very bad water. Very very bad. The baddest water around, you might say.","Бронзовое ведро с очень плохой водой. Очень очень плохо. Самая плохая вода на свете, можно сказать."
,,,
AL_Item_BronzeBucketFull,,[ffc070]Full Bronze Bucket [815500](Dirty Infected Water)[-],[ffc070]Полное бронзовое ведро [815500](Грязная зараженная вода)[-]
AL_Item_BronzeBucketFullDesc,,"A bronze bucket full of very bad water. Very very bad. The baddest water around, you might say.",
,,,
AL_Item_ScrapShovel,,[ffc070]Scrap Shovel[-],[ffc070]Лопата для лома[-]
AL_Item_ScrapShovelDesc,,"A shovel assembled from salvaged and scrap parts. If the rust hasn't eaten away too much, it'll do.","Лопата, собранная из вторсырья и металлолома. Если ржавчина не разъела слишком сильно, то сойдет."
,,,
AL_Item_ScrapPickaxe,,[ffc070]Scrap Pickaxe[-],[ffc070]Кирка из металлолома[-]
AL_Item_ScrapPickaxeDesc,,"It's barely holding itself together, but it should break a few rocks apart before it does.","Он едва держится на месте, но прежде чем это сделать, ему придется расколоть несколько камней."
,,,
AL_Item_ScrapSledgehammer,,[ffc070]Scrap Sledgehammer[-],[ffc070]Кувалда из лома[-]
AL_Item_ScrapSledgehammerDesc,,"A few pipes, some duct tape, and a smattering of miscellaneous junk, and you've got yourself a big smashy boi.","Несколько трубок, немного изоленты и немного всякого хлама, и вы получите большой шикарный бой."
,,,
AL_Item_InconelKnife,,[ffc070]Inconel Knife[-],[ffc070]Нож из инконеля[-]
AL_Item_InconelKnifeDesc,,A small knife with a blade of pure inconel and a polymer grip.,Небольшой нож с лезвием из чистого инконеля и полимерной рукояткой.
,,,
AL_Item_InconelGreatHammer,,[ffc070]Inconel Great-Hammer[-],[ffc070]Большой молот из инконеля[-]
AL_Item_InconelGreatHammerDesc,,A mighty and hefty two-handed hammer made of the best superalloy we have.,"Мощный и увесистый двуручный молот, изготовленный из лучшего суперсплава, который у нас есть."
,,,
AL_Item_InconelMace,,[ffc070]Inconel Mace[-],[ffc070]Инконель Булава[-]
AL_Item_InconelMaceDesc,,A strangely modern-looking mace made of the inconel superalloy.,Необычно современно выглядящая булава из суперсплава инконель.
,,,
AL_Item_InconelSpear,,[ffc070]Inconel Spear[-],[ffc070]Копье из инконеля[-]
AL_Item_InconelSpearDesc,,"It's long and impressively hard, but it lacks girth.","Он длинный и впечатляюще твердый, но ему не хватает обхвата."
,,,
AL_Item_InconelKnuckles,,[ffc070]Inconel Knuckledusters[-],[ffc070]Кастеты из инконеля[-]
AL_Item_InconelKnucklesDesc,,"If you ever wanted to punch a zombie in the face with a space-age superalloy, you've come to the right apocalypse.","Если вы когда-нибудь хотели ударить зомби по лицу суперсплавом космической эры, вы попали в правильный апокалипсис."
,,,
AL_Item_InconelShovel,,[ffc070]Inconel Shovel[-],[ffc070]Лопата из инконеля[-]
AL_Item_InconelShovelDesc,,"It's a space-age superalloy, so I that makes this shovel a terraforming tool.","Это суперсплав космической эры, поэтому я превращаю эту лопату в инструмент терраформирования."
,,,
AL_Item_InconelAxe,,[ffc070]Inconel Axe[-],[ffc070]Топор из инконеля[-]
AL_Item_InconelAxeDesc,,,
,,,
AL_Item_InconelPickaxe,,[ffc070]Inconel Pickaxe[-],[ffc070]Кирка из инконеля[-]
AL_Item_InconelPickaxeDesc,,,
,,,
AL_Item_BronzeAxe,,[ffc070]Bronze Axe[-],[ffc070]Бронзовый топор[-]
AL_Item_BronzeAxeDesc,,"A bronze axe, better than stone, worse than iron.","Бронзовый топор, лучше камня, хуже железа."
,,,
AL_Item_BronzePickaxe,,[ffc070]Bronze Pickaxe[-],[ffc070]Бронзовая кирка[-]
AL_Item_BronzePickaxeDesc,,Hitting stone with pointy bronze beats hitting stone with pointy stone.,Удар по камню заостренным бронзовым ударом лучше удара по камню заостренным камнем.
,,,
AL_Item_BronzeShovel,,[ffc070]Bronze Shovel[-],[ffc070]Бронзовая лопата[-]
AL_Item_BronzeShovelDesc,,A post-neolithic pre-ironic hole diggy implement.,Орудие для рытья ям постнеолитического до-железного периода.
,,,
AL_Item_Shiv,,[ffc070]Shiv[-],[ffc070]Заточка[-]
AL_Item_ShivDesc,,"Pick up a pointy thing and hold it like a knife, and you've got yourself a shiv.","Возьмите заостренную вещь и держите ее, как нож, и вы получите заточку."
,,,
AL_Item_ZVirusTestingKit,,[ffc070]Z-Virus Testing Kit[-],[ffc070]Набор для тестирования Z-вируса[-]
AL_Item_ZVirusTestingKitDesc,,This can be used to find out whether you are infected before it becomes a bit too obvious.,"Это можно использовать, чтобы узнать, заражены ли вы, прежде чем это станет слишком очевидным."
,,,
AL_Item_Vodka,,[ffc070]Vodka[-],[ffc070]Водка[-]
AL_Item_VodkaDesc,,Helping Russians *feel* warmer since potato.,Помогаем россиянам *чувствовать* себя теплее благодаря картофелю.
,,,
AL_Item_Trinkermeister,,[ffc070]Trinkermeister[-],[ffc070]Тринкермейстер[-]
AL_Item_TrinkermeisterDesc,,"When everyone else has passed out, you are the Trinkermeister!","Когда все остальные отключатся, ты — Тринкермейстер!"
,,,
AL_Item_Umbrella,,[ffc070]Umbrella[-],[ffc070]Зонтик[-]
AL_Item_UmbrellaDesc,,"When it's pouring outside, but the indoor zombie quota has been gratuitously exceeded, umbrella.","Когда на улице ливень, а в помещении безвозмездно превышена норма зомбирования, зонтик."
,,,
bucketEmpty,,Bucket,Ведро
bucketEmptyDesc,,A bucket that can be used to collect water and deposit it elsewhere. [bbbbbb]Only supports Dirty Infected Water.[-],"Ведро, которое можно использовать для сбора воды и хранения ее в другом месте. [bbbbbb]Поддерживает только грязную зараженную воду.[-]"
,,,
bucketRiverWater,,Bucket [815500](Dirty Infected Water)[-],Ведро [815500](Грязная зараженная вода)[-]
bucketRiverWaterDesc,,"A bucket full of very bad water. Very very bad. The baddest water around, you might say.","Ведро, полное очень плохой воды. Очень очень плохо. Самая плохая вода на свете, можно сказать."
,,,
AL_Item_BucketFull,,[ffc070]Full Bucket [815500](Dirty Infected Water)[-],[ffc070]Полное ведро [815500](Грязная зараженная вода)[-]
AL_Item_BucketFullDesc,,"A bucket full of very bad water. Very very bad. The baddest water around, you might say.","Ведро, полное очень плохой воды. Очень очень плохо. Самая плохая вода на свете, можно сказать."
,,,
AL_Item_JarFuel,,[ffc070]Fuel[-],[ffc070]Топливо[-]
AL_Item_JarFuelDesc,,A jar of fuel aka. gasoline. Don't drink it.,Банка с топливом она же. бензин. Не пейте это.
,,,
AL_Item_JerryCan,,[ffc070]Jerry Can[-],[ffc070]Джерри Кан[-]
AL_Item_JerryCanDesc,,"The good old jerry can, apocalyptically iconic.\n\n[bbbbbb]Equip and hold left-click on a fuel source to fill.\nEquip and hold right-click to refuel a vehicle or pour into a fuel container.\nOnly supports Fuel.[-]","Старая добрая канистра, апокалиптически знаковая.\n\n[bbbbbb]Наденьте и удерживайте левую кнопку мыши на источнике топлива, чтобы заправить ее.\nНаденьте и удерживайте правую кнопку мыши, чтобы заправить транспортное средство или залить топливо в контейнер.\nТолько поддерживает Топливо.[-]"
,,,
AL_Item_JarEmpty,,Empty Jar,Пустая банка
