Key,Russian
AL_LK_Shirts,Рубашки
AL_LK_Headwear,Головной убор
AL_LK_Booties,Ботинки
AL_LK_Denim,Джинсовая одежда
AL_LK_RunningShoes,Беговая обувь
AL_LK_Military,Военная одежда
AL_LK_PocketMods,Карманные моды
AL_LK_Suitwear,Костюмная одежда
AL_LK_Goth,Готическая мода
AL_LK_Coats,Пальто
AL_LK_SportsShoes,Спортивная обувь
AL_LK_Hazmat,Хазмат
,
AL_LK_JournalEntries,Записи в журнале
AL_LK_Heat,Нагрев
,
AL_LK_ReceivedWorkstationXP,Вы получили опыт навыка [ffc070]рабочие станции[-].[-]
,
AL_LK_MeleeWeapons,Оружие ближнего боя
AL_LK_RangedWeapons,Оружие дальнего боя
AL_LK_Ammo,Боеприпасы
,
AL_LK_ClothHatScrapHelmet,Тканевая шляпа и шлем из металлолома
AL_LK_ClothScrapGloves,Тканевые и металлоломные перчатки
AL_LK_ClothScrapBoots,Тканевые и металлоломные ботинки
AL_LK_ClothJacketScrapChest,Тканевая куртка и нагрудник из металлолома
AL_LK_LeatherHoodIronHelmet,Кожаный капюшон и железный шлем
AL_LK_LeatherIronGloves,Кожаные и железные перчатки
AL_LK_LeatherIronBoots,Кожаные и железные сапоги
AL_LK_LeatherIronPants,Кожаные и железные поножи
AL_LK_LeatherIronChest,Кожаный и железный нагрудник
AL_LK_MilitarySteelHelmet,Военный и стальной шлем
AL_LK_MilitarySteelGloves,Военные и стальные перчатки
AL_LK_MilitarySteelBoots,Военные и стальные ботинки
AL_LK_MilitarySteelLegs,Военные и стальные поножи
AL_LK_MilitaryVestSteelChest,Военный жилет и стальной нагрудник
,
AL_LK_Workstation,Рабочая станция
AL_LK_Tool,Инструмент
AL_LK_None,Нет
AL_LK_RequiredWorkstation,Требуется рабочая станция
AL_LK_RequiredTool,Требуется инструмент
,
AL_LK_Using,Используется
AL_LK_UsingInf,использовать
AL_LK_Applying,Применение
AL_LK_ApplyingInf,применить
AL_LK_Eating,Приём пищи:
AL_LK_EatingInf,съесть
AL_LK_Drinking,Приём жидкости:
AL_LK_DrinkingInf,выпить
AL_LK_Taking,Употребление:
AL_LK_TakingInf,принять
AL_LK_Reading,Чтение:
AL_LK_ReadingInf,прочитать
AL_LK_Gathering,Сбор
AL_LK_General,Общий
AL_LK_Vitality,Жизнестойкость
AL_LK_Combat,Бой
AL_LK_Crafting,Изготовление
AL_LK_Survival,Выживание
AL_LK_Mobility,Мобильность
AL_LK_ZombieKills,Убийства зомби
,
AL_LK_ContainerFull,Контейнер полон.
AL_LK_LiquidContainer,[77f4ff]Контейнер для жидкости[-]
AL_LK_Weight,Вес (кг)
AL_LK_IndividualWeight,Индивидуальный вес (кг)
AL_LK_StackWeight,Вес стека (кг)
AL_LK_Sobering,Отрезвление
AL_LK_Supports,Поддерживает
AL_LK_WetnessResistance,Влагостойкость
,
AL_LK_ZInfectionTestInfected,"Результат набора показывает, что [dd0000]вы заражены[-]."
AL_LK_ZInfectionTestNotInfected,"Результат набора показывает, что вы [00ff00]не заражены[-]."
AL_LK_ZInfectionTestOtherInfected,"Результат набора показывает, что [dd0000]они заражены[-]."
AL_LK_ZInfectionTestOtherNotInfected,"Результат набора показывает, что они [00ff00]не заражены[-]."
,
AL_LK_ZInfectionObvious,"Теперь очевидно, что [dd0000]вы заражены[-]."
,
AL_LK_SortByWeight,Сортировать по весу [bbbbbb](по убыванию)[-]
,
AL_LK_HitSeveral,[ffc070]Ударить несколько[-]
AL_LK_Backstab,[ffc070]Удар в спину[-]
AL_LK_PowerAttack,[ffc070]Мощная атака[-]
AL_LK_LongReach,[ffc070]Дальний охват[-]
,
AL_LK_Unconscious,[404040]Бессознательное[-]
# }}},
,
# Craft Area to Block Name Translation,
distillery,AL_Block_WorkstationDistillery
advanced_furnace,AL_Block_WorkstationAdvancedFurnace
mortar_and_pestle,AL_Block_WorkstationMortarAndPestle
kiln,AL_Block_WorkstationKiln
research_desk,AL_Block_WorkstationResearchDesk
dye_tub,AL_Block_WorkstationDyeTub
charcoal_kiln,AL_Block_WorkstationCharcoalKiln
,
# Item Stats Display {{{,
AL_LK_StoneBoulderBasher,Крушитель валунов
,
AL_LK_Knife,Нож
AL_LK_Spear,Копьё
AL_LK_Club,Дубинка
AL_LK_Clubs,Дубины
AL_LK_Sword,Мечи
AL_LK_Sledgehammer,Кувалда
AL_LK_Thrown,Метательное
AL_LK_Fisticuffs,Кулачные бои
,
AL_LK_Crossbows,Арбалеты
AL_LK_Archery,Стрельба из лука
,
AL_LK_Pickaxe,Кирка
AL_LK_Axe,Топор
AL_LK_Shovel,Лопата
,
AL_LK_Pickaxes,Кирки
AL_LK_Axes,Топоры
AL_LK_Shovels,Лопаты
,
AL_LK_Shotgun,Дробовик
AL_LK_Pistol,Пистолет
AL_LK_Rifle,Винтовка
AL_LK_SMG,Пистолет-пулемёт
AL_LK_LMG,Лёгкий пулемёт
AL_LK_AssaultRifles,Штурмовая винтовка
,
AL_LK_Yes,Да
AL_LK_No,Нет
# }}},
,
# Tags {{{,
AL_Tag_CollapsedWorkstation,Разрушенный верстак
,
AL_ItemType_Melee,Оружие ближнего боя
AL_ItemType_Ranged,Оружие дальнего боя
AL_ItemType_Thrown,Метательное оружие
AL_ItemType_Pickaxes,Кирка
AL_ItemType_Guns,Онестрельное оружие
AL_ItemType_Axes,Топор
AL_ItemType_Shovel,Лопата
AL_ItemType_Club,Дубинка
AL_ItemType_Baton,Жезл
AL_ItemType_Sledgehammer,Кувалда
AL_ItemType_Knife,Нож
AL_ItemType_Sword,Меч
AL_ItemType_Polearm,Древковое оружие
AL_ItemType_Spear,Копьё
AL_ItemType_Knuckles,Кастеты
AL_ItemType_Pickaxe,Кирка
,
AL_ItemType_Pistol,Пистолет
AL_ItemType_Magnum,Магнум
AL_ItemType_Shotgun,Дробовик
AL_ItemType_Rifle,Винтовка
AL_ItemType_SMG,Пистолет-пулемёт
AL_ItemType_LMG,Лёгкий пулемёт
AL_ItemType_AssaultRifle,Штурмовая винтовка
,
AL_ItemType_Bow,Лук
AL_ItemType_Crossbow,Арбалет
,
AL_ItemType_ConstructionTool,Строительный инструмент
AL_ItemType_MiningTool,Шахтёрский инструмент
AL_ItemType_DiggingTool,Инструмент для копания
AL_ItemType_LoggingTool,Инструмент для рубки
AL_ItemType_MotorTool,Моторный инструмент
AL_ItemType_SalvageTool,Инструмент для разбора
,
AL_Tag_BlockType_LoggingTarget,Цель рубки
AL_Tag_BlockType_MiningTarget,Цель добычи
AL_Tag_BlockType_DiggingTarget,Цель копки
AL_Tag_BlockType_ButcheringTarget,Цель свежевания
,
AL_AffectedByActionSkill_Butchering,Клинками по трупам
AL_AffectedByActionSkill_ThrownWeapons,Метательное оружие
AL_AffectedByActionSkill_Pickaxes,Кирки
AL_AffectedByActionSkill_Guns,Пушки
AL_AffectedByActionSkill_Axes,Топоры
AL_AffectedByActionSkill_Shovels,Лопаты
AL_AffectedByActionSkill_Clubbing,Дубинки
AL_AffectedByActionSkill_Sledgehammers,Кувалды
AL_AffectedByActionSkill_Knives,Ножи
AL_AffectedByActionSkill_Swordsmanship,Фехтование
AL_AffectedByActionSkill_Polearms,Древковое оружие
AL_AffectedByActionSkill_Spears,Копья
AL_AffectedByActionSkill_Fisticuffs,Кулачные бои
AL_AffectedByActionSkill_Archery,Стрельба из лука
AL_AffectedByActionSkill_Bows,Луки
AL_AffectedByActionSkill_Crossbows,Арбалеты
,
AL_AffectedByActionSkill_Pistols,Пистолеты
AL_AffectedByActionSkill_Magnums,Магнумы
AL_AffectedByActionSkill_Shotguns,Дробовики
AL_AffectedByActionSkill_Rifles,Винтовки
AL_AffectedByActionSkill_SMGs,Пистолеты-пулемёты
AL_AffectedByActionSkill_LMGs,Ручные пулемёты
AL_AffectedByActionSkill_AssaultRifles,Штурмовые винтовки
,
AL_AffectedByActionSkill_Logging,Инструменты для рубки
AL_AffectedByActionSkill_Mining,Шахтёрские инструменты
AL_AffectedByActionSkill_Digging,Инструменты для копания
AL_AffectedByActionSkill_Salvaging,Инструменты для разбора
AL_AffectedByActionSkill_ConstructionTools,Строительные инструменты
# }}},
,
AL_LK_CategoryTools,Инструменты
AL_LK_CategoryTraps,Ловушки
AL_LK_CategoryAmmo,Боеприпасы
AL_LK_CategoryWorkstations,Рабочие станции
,
# Items {{{,
AL_Item_Kukri,[ffc070]Кукри[-]
AL_Item_KukriDesc,"Интересно, получится ли из него бумеранг?"
,
AL_Item_SolidStateDrive,[ffc070]Твердотельный накопитель[-]
AL_Item_SolidStateDriveDesc,"Невероятно быстрый твердотельный накопитель. Вероятно, там есть порнушка."
,
AL_Item_BronzeArrow,[ffc070]Бронзовая стрела[-]
AL_Item_BronzeArrowDesc,"Стрела с бронзовым наконечником. Не так хороша, как железная или стальная, но уж точно лучше каменной."
,
AL_Item_BronzeBolt,[ffc070]Бронзовый болт[-]
AL_Item_BronzeBoltDesc,"Болт с бронзовым наконечником. Не так хорош, как железный или стальной, но уж точно лучше каменного."
,
AL_Item_BronzeKnuckles,[ffc070]Бронзовые кастеты[-]
AL_Item_BronzeKnucklesDesc,"Бронзовые кастеты. Хоть и небольшие, но бьют."
,
AL_Item_BronzeSledgehammer,[ffc070]Бронзовая кувалда[-]
AL_Item_BronzeSledgehammerDesc,"Время работы молотом, как в 3300 году до нашей эры!"
,
AL_Item_BronzeWarhammer,[ffc070]Бронзовый боевой молот[-]
AL_Item_BronzeWarhammerDesc,В мрачной тьме ближайшего будущего есть только зомби.
,
AL_Item_BronzeKnife,[ffc070]Бронзовый нож[-]
AL_Item_BronzeKnifeDesc,Ваш повседневный практичный бронзовый приятель.
,
AL_Item_BronzeSpear,[ffc070]Бронзовое копьё[-]
AL_Item_BronzeSpearDesc,"Довольно длинное бронзовое копьё, отлично подходящее для тыкания в тех, от кого вы не хотите получать ответные тычки!"
,
AL_Item_BronzeArrowhead,[ffc070]Бронзовый наконечник[-]
AL_Item_BronzeArrowheadDesc,"Бронзовый наконечник стрелы, готовый превратиться в стрелу или болт."
,
AL_Item_BronzeAnvil,[ffc070]Бронзовая наковальня[-]
AL_Item_BronzeAnvilDesc,Может быть установлена в кузнице для ковки бронзы.
,
AL_Item_AdvancedCrucible,[ffc070]Продвинутый тигель[-]
AL_Item_AdvancedCrucibleDesc,"Усовершенствованный тигель - важнейшая часть усовершенствованной плавки, позволяющая отливать из сверхпрочных сплавов, для сжижения которых требуются адские температуры. Может быть установлен в кузнице."
,
AL_Item_RaincoatJacket,[ffc070]Куртка-дождевик[-]
AL_Item_RaincoatJacketDesc,"Эта куртка-дождевик создана из лоскутов и не позволит вам полностью остаться сухим, но она поможет."
,
AL_Item_RaincoatHood,[ffc070]Капюшон дождевика[-]
AL_Item_RaincoatHoodDesc,"Этот капюшон от дождевика может немного испортить ваши безупречные волосы, но зато не даст им промокнуть."
,
AL_Item_FryingPan,[ffc070]Сковорода[-]
AL_Item_FryingPanDesc,Бзынь!
,
AL_Item_ScrapSpear,[ffc070]Копьё из металлолома[-]
AL_Item_ScrapSpearDesc,Это лишь способ дотянуться до дальней цели.
,
AL_Item_ScrapKnuckles,[ffc070]Кастеты из металлолома[-]
AL_Item_ScrapKnucklesDesc,Теперь им крышка!
,
AL_Item_WoodenBucketEmpty,[ffc070]Деревянное ведро[-] [815500](Грязная зараженная вода)[-]
AL_Item_WoodenBucketEmptyDesc,"Деревянное ведро, с помощью которого можно набирать воду и складывать ее в другое место. [bbbbbb]Поддерживает только грязную заражённую воду.[-]"
,
AL_Item_WoodenBucketMid,[ffc070]Деревянное ведро[-] [815500](Грязная заражённая вода)[-]
AL_Item_WoodenBucketMidDesc,"Деревянное ведро, полное очень плохой воды. Очень очень плохой. Самая плохая вода в округе, можно сказать."
,
AL_Item_WoodenBucketFull,[ffc070]Полное деревянное ведро [815500](Грязная заражённая вода)[-]
AL_Item_WoodenBucketFullDesc,"Деревянное ведро, полное очень плохой воды. Очень очень плохой. Самая плохая вода в округе, можно сказать."
,
AL_Item_BronzeBucketEmpty,[ffc070]Бронзовое ведро[-]
AL_Item_BronzeBucketEmptyDesc,"Бронзовое ведро, с помощью которого можно набирать воду и складывать ее в другое место. [bbbbbb]Поддерживает только грязную заражённую воду.[-]"
,
AL_Item_BronzeBucketMid,[ffc070]Бронзовое ведро[-] [815500](Грязная заражённая вода)[-]
AL_Item_BronzeBucketMidDesc,"Бронзовое ведро, полное очень плохой воды. Очень очень плохой. Самая плохая вода в округе, можно сказать."
,
AL_Item_BronzeBucketFull,[ffc070]Полное бронзовое ведро [815500](Грязная заражённая вода)[-]
AL_Item_BronzeBucketFullDesc,"Бронзовое ведро, полное очень плохой воды. Очень очень плохой. Самая плохая вода в округе, можно сказать."
,
AL_Item_ScrapShovel,[ffc070]Лопата из металлолома[-]
AL_Item_ScrapShovelDesc,"Лопата, собранная из вторсырья и металлоломных частей. Если ржавчина не сильно разъела её, то сойдёт."
,
AL_Item_ScrapPickaxe,[ffc070]Кирка из металлолома[-]
AL_Item_ScrapPickaxeDesc,"Выглядит будто вот-вот развалится, но ещё на несколько камнеё её должно хватить."
,
AL_Item_ScrapSledgehammer,[ffc070]Кувалда из маталлолома[-]
AL_Item_ScrapSledgehammerDesc,"Несколько труб, клейкая лента и разный хлам - и вот у вас уже есть большая разбивалка."
,
AL_Item_InconelKnife,[ffc070]Нож из инконеля[-]
AL_Item_InconelKnifeDesc,Небольшой нож с клинком из чистого инконеля и полимерной рукоятью.
,
AL_Item_InconelGreatHammer,[ffc070]Большой молот из инконеля[-]
AL_Item_InconelGreatHammerDesc,"Мощный и увесистый двуручный молот из лучшего суперсплава, который у нас есть."
,
AL_Item_InconelMace,[ffc070]Булава из инконеля[-]
AL_Item_InconelMaceDesc,Удивительно современно выглядящая булава из суперсплава инконель.
,
AL_Item_InconelSpear,[ffc070]Копьё из инконеля[-]
AL_Item_InconelSpearDesc,"Оно длинное и впечатляюще крепкое, но ему не хватает обхвата."
,
AL_Item_InconelKnuckles,[ffc070]Кастеты из инконеля[-]
AL_Item_InconelKnucklesDesc,"Если вы когда-нибудь хотели врезать зомби по лицу сверхпрочным сплавом космической эры, то вы попали в нужный апокалипсис."
,
AL_Item_InconelShovel,[ffc070]Лопата из инконеля[-]
AL_Item_InconelShovelDesc,"Это сверхпрочный сплав космического происхождения, что делает эту лопату инструментом для терраформирования."
,
AL_Item_InconelAxe,[ffc070]Топор из инконеля[-]
AL_Item_InconelAxeDesc,
,
AL_Item_InconelPickaxe,[ffc070]Кирка из инконеля[-]
AL_Item_InconelPickaxeDesc,
,
AL_Item_BronzeAxe,[ffc070]Бронзовый топор[-]
AL_Item_BronzeAxeDesc,"Бронзовый топор, лучше каменного, хуже железного."
,
AL_Item_BronzePickaxe,[ffc070]Бронзовая кирка[-]
AL_Item_BronzePickaxeDesc,Удары по камню острой бронзой лучше ударов острым камнем.
,
AL_Item_BronzeShovel,[ffc070]Бронзовая лопата[-]
AL_Item_BronzeShovelDesc,"Бронзовая лопата, лучше каменной, хуже железной."
,
AL_Item_Shiv,[ffc070]Заточка[-]
AL_Item_ShivDesc,"Возьмите какую-нибудь острую вещь и держите её как нож, и вы получите заточку."
,
AL_Item_ZVirusTestingKit,[ffc070]Набор для тестирования зомби инфекции[-]
AL_Item_ZVirusTestingKitDesc,"Его можно использовать, чтобы узнать, заражены ли вы, прежде чем это станет слишком очевидным."
,
AL_Item_Vodka,[ffc070]Водка[-]
AL_Item_VodkaDesc,Вот\nО чём\nДумает\nКаждый\nАлкоголик
,
AL_Item_Trinkermeister,[ffc070]Тринкермейстер[-]
AL_Item_TrinkermeisterDesc,"Когда все остальные в отключке, ты — Тринкермейстер!"
,
AL_Item_Umbrella,[ffc070]Зонтик[-]
AL_Item_UmbrellaDesc,"Когда на улице ливень, а квота на зомби в помещении безвозмездно превышена, возьмите зонтик."
,
bucketEmpty,Ведро
bucketEmptyDesc,"Ведро, с помощью которого можно набирать воду и складывать её в другое место. [bbbbbb] Поддерживает только грязную заражённую воду.[-]"
,
bucketRiverWater,Ведро [815500](Грязная заражённая вода)[-]
bucketRiverWaterDesc,"Ведро, полное очень плохой воды. Очень очень плохой. Самая плохая вода в округе, можно сказать."
,
AL_Item_BucketFull,[ffc070]Полное ведро [815500](Грязная заражённая вода)[-]
AL_Item_BucketFullDesc,"Ведро, полное очень плохой воды. Очень очень плохой. Самая плохая вода в округе, можно сказать."
,
AL_Item_JarFuel,[ffc070]Топливо[-]
AL_Item_JarFuelDesc,"Банка с топливом, также известным как бензин. Не вздумайте пить."
,
AL_Item_JerryCan,[ffc070]Канистра[-]
AL_Item_JerryCanDesc,"Старая добрая канистра, апокалиптически знаковая.\n\n[bbbbbb]Экипируйте и удерживайте левую кнопку мыши на источнике топлива, чтобы наполнить канистру.\nЭкипируйте и удерживайте правую кнопку мыши, чтобы заправить транспортное средство или налить топливо в контейнер.\nПоддерживает только топливо.[-]"
,
AL_Item_JarEmpty,Пустая банка
AL_Item_JarEmptyDesc,Может использоваться для сбора воды из природных источников или сбора жидкости из ёмкостей.
,
AL_Item_Schnapps,[ffc070]Шнапс[-]
AL_Item_SchnappsDesc,"Шнапс. Фруктовый, травянистый, пряный, сиропообразный, ароматный ликёр. Он сразит вас наповал."
,
AL_Item_TestKnife,[ff00ff]Тестовый нож[-]
AL_Item_TestKnifeDesc,Чик-чик!
,
AL_Item_FlatTireSmall,[ffc070]Маленькое спущенное колесо[-]
AL_Item_FlatTireSmallDesc,НАДО СДЕЛАТЬ
,
AL_Item_FlatTireLarge,[ffc070]Большое спущенное колесо[-]
AL_Item_FlatTireLargeDesc,НАДО СДЕЛАТЬ
,
AL_Item_Tarp,[ffc070]Брезент[-]
AL_Item_TarpDesc,Брезент как брезент.
,
AL_Item_IronBoltDismantled,Железный болт [808080](Разобран)[-]
AL_Item_SteelAPBoltDismantled,Стальной бронебойный болт [808080](Разобран)[-]
AL_Item_FlamingBoltDismantled,Зажигательный болт [808080](Разобран)[-]
AL_Item_ExplodingBoltDismantled,Взрывной болт [808080](Разобран)[-]
AL_Item_IronArrowDismantled,Железная стрела [808080](Разобрано)[-]
AL_Item_SteelAPArrowDismantled,Стальная бронебойная стрела [808080](Разобрано)[-]
AL_Item_FlamingArrowDismantled,Зажигательная стрела [808080](Разобрано)[-]
AL_Item_ExplodingArrowDismantled,Взрывная стрела [808080](Разобрано)[-]
AL_Item_PrimitiveDistillationKitIronDismantled,"Примитивный набор для очистки воды [808080](железный, разобранный)[-]"
AL_Item_PrimitiveDistillationKitWoodenDismantled,"Примитивный набор для очистки воды [808080](деревянный, разобранный)[-]"
,
AL_Item_Sickle,[ffc070]Серп[-]
AL_Item_SickleDesc,"[ffc070]Серп[-] - полезный инструмент, позволяющий собирать траву и урожай легче и быстрее, чем голыми руками. Однако для боя он немного непрактичен."
,
AL_Item_TailoringMagazine,[ffc070]Игла и нить[-]
AL_Item_TailoringMagazineDesc,Мы позаботимся о вас с головы до ног. Каждое издание специализируется на высококачественных выкройках одежды для любителей домашнего шитья.
,
AL_Item_Shafts,[ffc070]Древки[-]
AL_item_ShaftsDesc,"Длинные тонкие кусочки дерева, используемые в основном для изготовления болтов и стрел."
,
drinkJarBoiledWater,[c0ff00]Заражённая вода[-]
drinkJarBoiledWaterDesc,"Эта вода была взята из источника, поражённого зомби-инфекцией, хотя это мало о чём говорит, ведь так происходит практически со всеми источниками воды. Судя по всему, её прокипятили, так что, хоть вы и не получите расстройство желудка, пить её всё равно не стоит."
,
drinkJarRiverWater,[c0ff00]Грязная заражённая вода[-]
drinkJarRiverWaterDesc,"Мутная, грязная, заражённая, дерьмовая вода. Она сделает вашу задницу взрывоопасной, а смерть - быстрой."
,
AL_Item_Compass,[ffc070]Компас[-]
AL_Item_CompassDesc,"Это, конечно, не Google Maps, но сгодится."
,
AL_Item_Guidebook,[ffc070]Наглядное пособие[-]
AL_Item_GuidebookDesc,"Обложка этой книги удивительно чистая и назойливо яркая на фоне ржаво-пыльного беспорядка, населяющего этот мир. Она была сделана либо искусным мастером, либо сложной машиной, созданной специально для этой цели. На её поверхности видны разнообразные выступы и вставки, составляющие текстуру, придающую книге поразительный контраст. Существование и состояние книги не имеет смысла, но нет никаких подсказок, чтобы объяснить это.\n\n[bbbbbb] Вы можете разобрать этот предмет, чтобы пропустить обучающую квестовую линию и получить всё, что вы получили бы, если бы сделали это.[-]"
,
AL_Item_ExtremelySimpleLifeMagazine,[ffc070]Журнал «Чрезвычайно простая жизнь»[-]
AL_Item_ExtremelySimpleLifeMagazineDesc,"Журнал удивительно чистый и яркий, как и книга, из которой он был взят. Он выглядит так, словно был напечатан всего несколько минут назад. Пролистав страницы, вы догадываетесь, что в журнале содержатся инструкции по изготовлению нескольких примитивных предметов для выживания из материалов, которые можно легко найти в дикой природе. Журнал содержит инструкции по изготовлению [ffc070]каменного топора[-][ffffff], [ffc070]каменной кирки[-][ffffff], [ffc070]каменной лопаты[-][ffffff], [ffc070]деревянной киянки[-] и [808080]примитивного лука[-]."
,
AL_Item_LiteratureFragments,[ffc070]Фрагменты литературы[-]
AL_Item_LiteratureFragmentsDesc,"Различные записи и иллюстрации, содержащие широкий спектр знаний. Возможно, их можно организовать таким образом, чтобы получить полезную информацию."
,
AL_Item_BikerHelmet,[ffc070]Байкерский шлем[-]
AL_Item_BikerHelmetDesc,Он создан для езды или для боя? Por que no los dos?
,
AL_Item_CeramicCrucible,[ffc070]Керамический тигель[-]
AL_Item_CeramicCrucibleDesc,"Этот простой тигель, созданный из глины и огня, будет верно хранить практически любой расплавленный металл. Может быть установлен в кузнице."
,
AL_Item_LockpickSet,[ffc070]Набор отмычек[-]
AL_Item_LockpickSetDesc,"Подсумок, содержащий набор отмычек. Конечно, в современную эпоху их используют только любители и профессиональные взломщики замков. Никогда не следует взламывать замок, которым не владеешь. Ага..."
,
AL_Item_PatchUpKit,[ffc070]Набор для починки[-]
AL_Item_PatchUpKitDesc,"Этот примитивный набор из легкодоступных материалов поможет починить большинство вещей, но при этом уменьшит максимальную прочность отремонтированного предмета до тех пор, пока не будет проведен полноценный ремонт."
,
AL_Item_FreedomDye,[ffc070]Freedom Dye Master (Инструмент разработчиков)[-]
AL_Item_FreedomDyeDesc,"Краситель, получаемый из ванны для красителей."
,
AL_Item_ManukaHoney,[ffc070]Мёд манука[-]
AL_Item_ManukaHoneyDesc,"[ffc070]Мёд манука[-], как утверждают многие, укрепляет иммунную систему. А еще он очень приятен на вкус."
,
AL_Item_HeadLamp,[ffc070]Налобный фонарь[-]
AL_Item_HeadLampDesc,"Когда вам нужно видеть в темноте, а также делать что-то руками, и вы по каким-то причинам не хотите использовать слот для фонарей, это весьма полезная вещь."
,
AL_Item_Brick,[ffc070]Кирпич[-]
AL_Item_BrickDesc,"Обычный глиняный кирпич, отожжённый в печи, уже на подходе к строительству."
,
AL_Item_BrickMould,[ffc070]Форма для кирпича[-]
AL_Item_BrickMouldDesc,"Это не более чем несколько деревяшек, соединенных вместе, чтобы получился красивый кирпич. Каждая такая форма, добавленная в [ffc070]печь[-], вдвое сокращает время производства одного кирпича."
,
AL_Item_Wristwatch,[ffc070]Наручные часы[-]
AL_Item_WristwatchDesc,"Когда-то, давным-давно, во времена глупости, кто-то решил, что постоянный взгляд на солнце вредит его глазам, а потому пошёл и купил наручные часы."
,
AL_Item_BoneShards,[ffc070]Осколок кости[-]
AL_Item_BoneShardsDesc,"Мелкие фрагменты и осколки кости, отколовшиеся от более крупной, неповрежденной кости."
,
AL_Item_Wood,[ffc070]Древесина[-]
AL_Item_WoodDesc,"Эта [ffc070]древесина[-] представляет собой абстракцию дерева, которое было изготовлено в различных формах для использования в производстве различных изделий."
,
AL_Item_IronOre,[ffc070]Железо (руда)[-]
AL_Item_IronOreDesc,"Единственный источник металлического железа, причем в удивительном изобилии. Видимо, старатели старого мира были некомпетентны или что-то в этом роде."
,
AL_Item_CassiteriteOre,[ffc070]Касситерит (руда)[-]
AL_Item_CassiteriteOreDesc,Источник металлического олова и ключевой компонент в производстве бронзового сплава.
,
AL_Item_NitreOre,[ffc070]Селитра (руда)[-]
AL_Item_NitreOreDesc,"Это зернистое, белое и неприметное месиво на самом деле является источником потрясающей взрывной силы."
,
AL_Item_BookRockHardBase,[ffc070]Журнал «Как кремень»[-] (Предмет разработчиков)
AL_Item_BookRockHard1,[ffc070]Журнал «Как кремень»: Том 1[-]
AL_Item_BookRockHard2,[ffc070]Журнал «Как кремень»: Том 2[-]
AL_Item_BookRockHard3,[ffc070]Журнал «Как кремень»: Том 3[-]
AL_Item_BookRockHard4,[ffc070]Журнал «Как кремень»: Том 4[-]
AL_Item_BookRockHard5,[ffc070]Журнал «Как кремень»: Том 5[-]
AL_Item_BookRockHard6,[ffc070]Журнал «Как кремень»: Том 6[-]
AL_Item_BookRockHard7,[ffc070]Журнал «Как кремень»: Том 7[-]
,
AL_Item_BookRockHard1Desc,"Содержит рецепт особого сорта кофе, подходящего для шахтёрского образа жизни."
AL_Item_BookRockHard2Desc,"Иногда ваше рвение превышает здравый смысл, и на вас обрушивается каменное небо. В этом выпуске вы найдете несколько советов о том, как сделать так, чтобы камень с неба не причинял столько боли."
AL_Item_BookRockHard3Desc,"Сегодня ночью вы, сосунки, будете спать со своей киркой. Вы дадите своей кирке девичье имя. [РЕДАКТИРОВАНО] Ты женат на этой кирке. На этом инструменте из железа и дерева. И ты будешь ей верен! (Речь идет о техническом обслуживании)"
AL_Item_BookRockHard4Desc,"Кажется, что при неосторожном ударе по руде можно раздробить ценную руду. В этом издании вы найдете статью о том, как этого не сделать."
